Rk,Player,Position,Game,Games Started,Mins Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Points,Awards
501,Johnny Furphy,SG,50,0,7.6,0.7,1.8,0.38,0.3,1,0.3,0.4,0.8,0.48,0.46,0.4,0.4,0.82,0.5,1,1.4,0.6,0.6,0,0.2,0.4,0.8,
503,Josh Christopher,SG,14,0,4.9,0.8,2.2,0.36,0.1,0.8,0.18,0.6,1.4,0.45,0.39,0.3,0.4,0.67,0,0.6,0.6,0.3,0,0.1,0.3,0.7,0.7,
509,Garrett Temple,SG,28,0,8.1,0.6,2.1,0.3,0.2,1,0.21,0.4,1.1,0.38,0.35,0.4,0.4,0.92,0.3,0.7,1,0.3,0,0.2,0.3,0.4,0.7,
512,Adam Flagler,SG,37,0,5.5,0.7,2.6,0.26,0.4,1.9,0.19,0.3,0.6,0.46,0.33,0,0.1,0.5,0.2,0.5,0.7,0.2,0.2,0.2,0.5,0.7,0.7,
516,Pacome Dadiet,SG,18,0,6.2,0.6,1.7,0.32,0.3,1.1,0.32,0.2,0.7,0.33,0.42,0.2,0.3,0.67,0.2,0.8,1,0.2,0.1,0.3,0.1,0.4,0.7,
517,Alex Ducas,SG,21,0,6,0.6,1.4,0.4,0.5,1,0.48,0.1,0.4,0.22,0.57,0.1,0.1,1,0.4,0.8,1.2,0,0,0,0,0,0.6,
534,Cam Christie,SG,13,0,4.5,0.5,1.8,0.29,0.2,1,0.15,0.4,0.8,0.46,0.33,0.2,0.3,0.5,0.2,0.7,0.9,0.3,0.1,0,0.3,0.5,0.4,
536,Trey Alexander,SG,24,0,4.9,0.5,1.7,0.32,0.1,0.7,0.18,0.4,1,0.42,0.35,0.1,0.2,0.75,0,0.5,0.5,0.2,0,0,0.2,0.7,0.3,
543,Bryce McGowens,SG,13,0,2.5,0.3,1.1,0.29,0,0.3,0,0.3,0.8,0.4,0.29,0.4,0.5,0.83,0.2,0.1,0.2,1,0,0,1.3,0.3,0.3,
545,Luke Travers,SG,12,0,7.3,0.4,1.7,0.25,0,0.8,0,0.4,0.9,0.46,0.25,0.2,0.2,1,0.7,1,1.7,1,0,0,0,0,0,
549,D.J. Carton,SG,4,0,8.3,0.3,1.8,0.14,0,0.8,0,0.3,1,0.25,0.14,0.3,0.3,1,0,1,1,0.5,0,0,0,1,0,
550,PJ Dozier,SG,9,0,3.9,0.2,0.3,0.67,0.2,0.3,0.67,0,0,,1,0.1,0.7,0.17,0.1,0.4,0.6,1.5,0,0,0,1,0,
556,Stanley Umude,SG,22,0,3.9,0.2,1.2,0.19,0.1,0.7,0.2,0.1,0.5,0.18,0.25,0.1,0.2,0.5,0.2,0.6,0.8,0.3,0.3,0,0,0,0,
557,Cui Yongxi,SG,5,0,2,0.2,1.4,0.14,0,0.6,0,0.2,0.8,0.25,0.14,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0,0,0,
558,Tristen Newton,SG,8,0,2,0.1,1,0.13,0,0.4,0,0.1,0.6,0.2,0.13,0.1,0.1,1,0.3,0.3,0.5,1,0,0,0,0,0,
561,Terence Davis,SG,1,0,8,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,
563,Mac McClung,SG,2,0,5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0.5,0.5,0,0.3,0,0,0,0,
567,Zyon Pullin,SG,3,0,1,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0,0,0.7,0,0,0,0,0,
