Rk,Player,Position,Game,Games Started,Mins Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Points,Awards
398,Mason Plumlee,C,74,21,17.6,1.7,2.7,0.619,0,0.1,0,1.7,2.7,0.631,0.619,1.1,1.7,0.648,1.6,4.6,6.1,5.4,1.4,0.3,1.3,0.9,17.5,
401,Charles Bassey,C,36,1,10.4,1.9,3.3,0.581,0,0,,1.9,3.3,0.581,0.581,0.6,0.9,0.636,1.6,2.7,4.2,7.4,2,0.4,3.4,2,17.5,
402,Tony Bradley,C,14,0,8.1,2.1,3.2,0.644,0.1,0.2,0.333,2,3,0.667,0.656,0.1,0.4,0.333,1.3,1.7,3,5.6,0.9,0.6,2.4,2.4,17.2,
406,Mo Bamba,C,32,2,12.9,1.6,3.5,0.464,0.5,1.7,0.278,1.2,1.8,0.638,0.531,0.6,0.8,0.704,1,3.5,4.5,5.8,0.7,0.1,1.8,1.8,17.1,
408,Micah Potter,C,38,10,18.6,1.5,3.6,0.422,0.8,2.6,0.316,0.7,1,0.703,0.537,0.4,0.5,0.85,1.1,3.2,4.3,1.4,0.8,0.2,1.3,2.4,17,6MOY-4
410,Daniel Theis,C,38,9,16.3,1.6,3.4,0.473,0.2,1,0.243,1.4,2.4,0.565,0.508,0.8,1,0.838,1.2,3.2,4.3,3.7,1.1,0.5,1.9,2.6,17,
417,Duop Reath,C,46,0,10.2,1.5,3.6,0.422,0.7,2.3,0.321,0.8,1.3,0.6,0.524,0.4,0.5,0.909,1,1,2,3.9,1,0.5,2.7,2.4,16.9,
424,Paul Reed,C,45,0,9.7,1.6,3.2,0.507,0.2,0.6,0.286,1.4,2.5,0.561,0.535,0.7,0.9,0.762,0.9,1.8,2.7,5.6,0.7,0.1,2.7,1.7,16.8,
432,Steven Adams,C,58,3,13.7,1.6,2.9,0.545,0,0,0,1.6,2.8,0.552,0.545,0.7,1.6,0.462,2.9,2.8,5.6,2.7,0.7,1.1,1.6,2.1,16.8,"DPOY-6,DEF2"
436,Branden Carlson,C,32,0,7.7,1.3,3,0.443,0.7,2.1,0.333,0.7,1,0.677,0.557,0.4,0.6,0.778,0.5,1.2,1.7,4.8,0.9,1.1,1.7,1.8,16.4,DPOY-10
438,Ousmane Dieng,C,37,1,10.9,1.5,3.4,0.432,0.6,1.9,0.324,0.8,1.5,0.574,0.524,0.3,0.4,0.688,0.5,1.7,2.2,1.7,0.9,0.1,1,1.5,16.3,6MOY-2
441,DeAndre Jordan,C,56,5,12.3,1.6,2.5,0.65,0,0,,1.6,2.5,0.65,0.65,0.5,1.1,0.422,1.5,3.6,5.1,2.9,1.3,0.5,1.4,1.7,16.3,
450,Luka Garza,C,39,0,5.6,1.3,2.7,0.495,0.3,0.9,0.278,1.1,1.8,0.609,0.543,0.6,0.9,0.686,0.8,0.6,1.4,3.7,0.8,0.2,2.3,1.4,16.2,
453,Dario Šarić,C,16,4,13.1,1.3,3.6,0.362,0.4,1.6,0.269,0.9,2,0.438,0.422,0.4,0.6,0.7,0.9,2.3,3.1,4.3,1.8,0.5,2.6,2.5,16.2,
455,Bruno Fernando,C,17,2,8.6,1.5,2.9,0.531,0,0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3,3.7,1.5,0.9,2.9,2.8,16.2,
465,Kylor Kelley,C,11,2,11.5,1.3,2,0.636,0,0,,1.3,2,0.636,0.636,0.5,0.9,0.6,1.1,2.5,3.5,1.9,0.7,0.3,1.9,2.3,16.1,
471,Pete Nance,C,13,1,10.6,1.1,2.5,0.438,0.7,1.8,0.375,0.4,0.6,0.625,0.578,0.1,0.2,0.5,0.4,1.2,1.6,1.5,0.8,2,1.7,2.5,15.6,
473,Taj Gibson,C,37,11,11.1,1.3,2.6,0.495,0,0.1,0.5,1.2,2.5,0.495,0.5,0.3,0.5,0.6,1.4,1.9,3.2,2.6,1.1,0.5,1,2.2,15.4,
483,Trey Jemison,C,38,0,10.3,1.1,1.9,0.554,0,0,,1.1,1.9,0.554,0.554,0.3,0.9,0.394,1.2,1.6,2.8,2.2,0.8,0.4,1.5,1.9,15.3,
488,Christian Koloko,C,37,0,9.2,1.1,1.8,0.606,0,0.1,0,1.1,1.7,0.645,0.606,0.3,0.4,0.714,0.9,1.5,2.5,2.6,0.7,0,1.6,1.6,15.3,ROY-7
502,Dwight Powell,C,55,3,10,0.8,1.1,0.69,0,0.1,0.4,0.7,1,0.71,0.71,0.5,0.8,0.65,0.9,1.3,2.1,2.5,0.7,1.2,1.6,2.4,15.3,
505,Adama Sanogo,C,4,0,5.3,1,1.8,0.57,0,0,,1,1.8,0.57,0.57,0,0,,1.3,0.3,1.5,1.8,1.5,0.5,1.3,3,15.1,
507,Ariel Hukporti,C,25,1,8.7,0.8,1.2,0.68,0,0,,0.8,1.2,0.68,0.68,0.2,0.5,0.46,0.6,1.5,2,2,0.7,2.2,1.8,2.3,15,
510,Jericho Sims,C,53,5,12,0.8,1.3,0.63,0,0,,0.8,1.3,0.63,0.63,0.2,0.2,0.62,1.3,2.4,3.7,2.3,0.6,0.3,2.2,1.8,14.8,
518,PJ Hall,C,19,0,3.5,0.7,1.3,0.58,0.1,0.4,0.25,0.6,0.8,0.75,0.63,0.2,0.2,0.75,0.3,0.8,1.2,4.1,0.9,0.3,2.2,2,14.7,ROY-1
520,Tristan Thompson,C,40,0,8.2,0.8,1.8,0.44,0,0.1,0,0.8,1.7,0.46,0.44,0.2,0.8,0.23,0.8,2.6,3.4,3.2,0.5,0.3,1.4,1.6,14.7,
521,Alex Len,C,46,7,8.3,0.7,1.4,0.51,0,0.2,0.22,0.7,1.2,0.56,0.52,0.2,0.4,0.47,0.8,1.2,2.1,2.3,1.1,1.1,2.1,2.3,14.7,
544,Xavier Tillman Sr.,C,33,2,7,0.4,1.6,0.25,0.2,1,0.16,0.2,0.6,0.38,0.29,0.1,0.1,0.75,0.3,1,1.3,3,1,0.3,1.9,1.8,14.6,
555,Liam Robbins,C,13,0,4.4,0.2,0.6,0.25,0,0.2,0,0.2,0.5,0.33,0.25,0.4,0.8,0.5,0.5,0.4,0.9,7.2,1.2,0.6,2.9,1.7,14.6,
562,Jesse Edwards,C,2,0,2.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,2.8,1.2,1.2,1.9,3.1,14.5,
566,Jahlil Okafor,C,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1.6,0.8,1,1.7,2.2,14.4,
2,Giannis Antetokounmpo,PF,67,67,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,1.8,0.9,0.2,1.5,2.2,14.4,
6,Jayson Tatum,PF,72,72,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5,6.1,0.814,0.7,8,8.7,2.1,0.9,1,1.4,2.3,14.4,
7,Kevin Durant,PF,62,62,36.5,9.5,18.1,0.527,2.6,6,0.43,7,12.1,0.574,0.598,4.9,5.8,0.839,0.4,5.7,6,3.5,0.9,0.2,1,1.5,14.3,6MOY-1
11,Paolo Banchero,PF,46,46,34.4,9,19.8,0.452,1.9,5.9,0.32,7.1,13.9,0.509,0.5,6.1,8.4,0.727,1.1,6.4,7.5,2.3,0.7,0.9,1.4,2.4,14.2,6MOY-5
17,Zion Williamson,PF,30,30,28.6,9.6,16.9,0.567,0.1,0.4,0.231,9.5,16.5,0.576,0.57,5.3,8,0.656,2.5,4.7,7.2,4.4,3,0.7,2,2.3,14.1,"DPOY-2,MIP-1,DEF1"
48,Miles Bridges,PF,64,64,31.7,7.3,17,0.431,2.2,7,0.313,5.1,10,0.513,0.495,3.5,4,0.87,1.1,6.4,7.5,3,0.5,0.3,1.9,1.8,14.1,
50,Pascal Siakam,PF,78,78,32.7,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.8,1.4,1.3,2,2.4,14.1,"DPOY-5,DEF1"
52,Scottie Barnes,PF,65,65,32.8,7.3,16.4,0.446,1.2,4.3,0.271,6.1,12,0.508,0.482,3.5,4.6,0.755,1.7,6,7.7,5.6,1.6,0.4,1.5,2.3,14.1,
57,John Collins,PF,40,31,30.5,7,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6,8.2,1.7,0.8,0.2,1,3.2,14,
58,Lauri Markkanen,PF,47,47,31.4,6.3,14.9,0.423,2.9,8.5,0.346,3.4,6.4,0.525,0.521,3.4,3.9,0.876,1.5,4.4,5.9,0,0,0,2,3,14,
60,Cameron Johnson,PF,57,57,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,2,0.7,0.4,1.2,1.1,14,
61,Julius Randle,PF,69,69,32.3,6.6,13.6,0.485,1.6,4.6,0.344,5,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5,7.1,2.1,0.7,0.5,1.2,1.9,13.9,
63,Evan Mobley,PF,71,71,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7,9.3,2.2,1,0.8,1.2,1.9,13.7,
70,OG Anunoby,PF,74,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,5.9,1.5,0.4,2.1,2.6,13.6,
86,Paul George,PF,41,41,32.5,6,13.9,0.43,2.3,6.5,0.358,3.6,7.4,0.493,0.514,1.9,2.4,0.814,0.6,4.8,5.3,1.9,0.9,0.9,1.2,1.5,13.5,
91,Jonathan Kuminga,PF,47,10,24.3,5.5,12.1,0.454,1,3.2,0.305,4.5,8.9,0.508,0.495,3.3,5,0.668,1.2,3.4,4.6,2.3,0.9,0.9,1.2,2.6,13.4,
96,Kyle Kuzma,PF,65,62,29.8,5.7,13,0.436,1.5,4.8,0.307,4.2,8.2,0.512,0.493,2,3.1,0.634,0.8,4.9,5.7,6.1,1.4,0.5,3.2,2.5,13.3,6MOY-7
98,Aaron Gordon,PF,51,42,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3,1,0.2,1.6,1.6,13.2,
99,P.J. Washington,PF,57,56,32.2,5.3,11.7,0.453,1.6,4.2,0.381,3.7,7.5,0.493,0.521,2.5,3.5,0.722,1.4,6.3,7.8,5.4,0.9,0.2,1.9,2.4,13.1,
105,Jerami Grant,PF,47,47,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3,3.5,0.849,0.6,2.9,3.5,1.4,0.8,0.4,0.8,1.8,13.1,
113,Tolu Smith,PF,1,0,22,6,9,0.667,0,0,,6,9,0.667,0.667,2,3,0.667,4,4,8,1.8,0.6,1.9,1.1,2.1,13,
115,Bobby Portis,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.4,0.7,1.5,1.7,2.2,13,ROY-4
116,Tobias Harris,PF,73,73,31.6,5.3,11,0.477,1.2,3.6,0.345,4,7.4,0.542,0.534,2,2.3,0.861,0.9,5,5.9,1.4,0.8,0.4,1.6,1.8,12.9,
123,Rui Hachimura,PF,59,57,31.7,5,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5,4.1,0.5,0.2,1.6,1.3,12.7,
132,Santi Aldama,PF,65,16,25.5,4.8,10,0.483,1.8,5,0.368,3,5,0.599,0.576,1,1.4,0.691,1.4,5,6.4,5.1,1,0.2,2.7,2.7,12.7,
134,Keegan Murray,PF,76,76,34.3,4.8,10.8,0.444,2,5.9,0.343,2.8,4.9,0.566,0.538,0.8,0.9,0.833,1.9,4.8,6.7,1.6,0.6,0.3,1,1.5,12.7,
136,Harrison Barnes,PF,82,82,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2,2.4,0.809,1.2,2.6,3.8,5.1,1,0.4,1.9,2,12.6,
140,Jaden McDaniels,PF,82,82,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,1.2,0.7,0.5,1.2,2,12.6,ROY-2
141,Jabari Smith Jr.,PF,57,39,30.1,4.4,9.9,0.438,1.7,4.9,0.354,2.6,5.1,0.519,0.525,1.8,2.2,0.825,1.8,5.2,7,2.9,0.8,0.4,1.1,1.2,12.5,
143,Drew Timme,PF,9,2,28.2,5,11.3,0.441,1,3.9,0.257,4,7.4,0.537,0.485,1.1,1.8,0.625,1.9,5.3,7.2,3.4,1.1,0,1.3,1.5,12.5,6MOY-3
144,Tari Eason,PF,57,16,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.4,0.8,0.9,0.8,2.4,12.4,
153,Jeremy Sochan,PF,54,23,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.5,0.5,0.3,1.3,1.4,12.4,
154,Toumani Camara,PF,78,78,32.7,4.2,9.2,0.458,1.7,4.6,0.375,2.5,4.6,0.542,0.552,1.2,1.6,0.722,2.2,3.6,5.8,1.7,0.5,0.2,0.6,0.9,12.3,
168,Nikola Jović,PF,46,10,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,3.4,1.3,0.7,2.1,2.4,12.3,
172,Obi Toppin,PF,79,4,19.6,4,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4,4.5,0.9,0.4,1.5,2.3,12.3,
176,Grant Williams,PF,16,7,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,1.4,0.4,1.8,1.2,2.7,12.3,
184,Trendon Watford,PF,44,6,20.8,3.7,8,0.469,0.7,2,0.33,3.1,6,0.515,0.51,2.1,2.8,0.762,0.8,2.8,3.6,2,1.3,0.9,1.2,2.7,12.2,
190,Chris Boucher,PF,50,0,17.2,3.6,7.4,0.492,1.4,3.9,0.363,2.2,3.5,0.633,0.586,1.4,1.7,0.782,1.4,3.1,4.5,1.1,0.4,0.7,1.1,2.2,12.2,
194,Georges Niang,PF,79,3,21.5,3.6,7.8,0.461,2.1,5.2,0.406,1.5,2.7,0.569,0.595,0.6,0.7,0.793,0.6,2.8,3.4,3.4,0.9,0.5,1.2,1.5,12.1,
205,Jalen Wilson,PF,79,22,25.7,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,2.2,0.4,0.1,1.7,2.3,12.1,
216,Noah Clowney,PF,46,20,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3,3.9,1.5,1.7,0.9,1.1,2.4,12,
224,Draymond Green,PF,68,66,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5,6.1,1.8,0.8,1.4,1.2,2.5,12,"DPOY-13,DEF2"
228,Patrick Williams,PF,63,36,25,3.3,8.2,0.397,1.5,4.3,0.353,1.7,3.9,0.447,0.49,1,1.3,0.723,0.7,3.1,3.8,1.2,0.8,0.4,0.8,2.5,12,
237,Dorian Finney-Smith,PF,63,40,28.9,3.1,6.9,0.448,2,5,0.411,1,1.9,0.545,0.597,0.5,0.7,0.667,1.3,2.7,3.9,1.8,0.8,0.2,0.9,1.3,12,
249,Sam Hauser,PF,71,19,21.7,3,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1,0.6,2.5,3.2,4.1,0.9,0.2,1.5,2,11.9,
250,Larry Nance Jr.,PF,24,3,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1,3.3,4.3,2.7,0.7,1.1,1.7,3.2,11.8,
256,Brandon Clarke,PF,64,18,18.9,3.7,5.9,0.621,0,0.3,0.059,3.7,5.7,0.647,0.622,1,1.4,0.701,2,3.1,5.1,3.6,1.2,0.3,1.6,1.8,11.7,
262,Quinten Post,PF,42,14,16.3,2.9,6.5,0.449,1.7,4.3,0.408,1.2,2.3,0.526,0.582,0.5,0.6,0.778,0.8,2.7,3.5,3.4,1.1,0.2,1.2,1.5,11.7,
270,Karlo Matković,PF,42,7,18.8,3.2,5.6,0.574,0.5,1.6,0.318,2.7,4,0.675,0.619,0.8,1,0.773,1.5,3.5,5,1.7,0.4,0.2,1,1.6,11.6,
278,Richaun Holmes,PF,31,7,17.2,2.9,4.5,0.647,0,0.1,0,2.9,4.4,0.662,0.647,1.6,1.9,0.833,2,3.7,5.7,2.4,0.8,0.5,1.6,2.4,11.4,
286,GG Jackson II,PF,29,3,15.8,2.6,6.9,0.372,1.1,3.3,0.337,1.4,3.6,0.404,0.452,1,1.4,0.725,0.9,2.2,3.2,2.2,1.5,0.6,1.4,2.9,11.3,"DPOY-9,DEF2"
290,Nae'Qwan Tomlin,PF,5,1,12.6,2.6,6.4,0.406,0.4,2,0.2,2.2,4.4,0.5,0.438,1.6,2.2,0.727,1.8,2.4,4.2,3.8,0.8,1.1,1.7,3,11.2,
301,Jake LaRavia,PF,66,0,20.4,2.4,5.1,0.475,0.9,2.2,0.423,1.5,3,0.513,0.564,1.2,1.7,0.678,1.4,2.6,3.9,1.6,0.8,0.3,1.1,1.6,11.1,
307,Bol Bol,PF,36,10,12.4,2.7,5.1,0.525,0.9,2.6,0.344,1.8,2.5,0.711,0.612,0.6,0.7,0.769,0.6,2.3,2.9,3.9,1.1,0.4,1.2,1.6,11.1,
323,Trey Lyles,PF,69,5,19.6,2.3,5.4,0.42,1.2,3.4,0.34,1.1,2,0.559,0.528,0.8,1.2,0.7,1.2,3.4,4.6,1.7,0.6,2.4,1.5,2.2,11.1,
326,Zach Collins,PF,64,12,15.3,2.4,4.7,0.507,0.5,1.7,0.302,1.9,3.1,0.617,0.56,1.1,1.2,0.885,1.6,2.9,4.5,1.2,1,0.1,0.6,1.7,11.1,
329,KJ Martin,PF,43,16,21.2,2.6,4.7,0.552,0.3,1.3,0.259,2.2,3.3,0.671,0.59,0.9,1.1,0.787,0.7,2.2,2.9,4.4,0.9,0.2,1.3,1.5,11,
331,Sandro Mamukelashvili,PF,61,0,11.2,2.3,4.6,0.502,1,2.6,0.373,1.3,2,0.675,0.609,0.7,1,0.741,1,2,3.1,1.6,0.5,0.1,0.6,1.2,11,
332,Jeremiah Robinson-Earl,PF,66,9,18.8,2.4,5.3,0.455,0.8,2.5,0.341,1.5,2.8,0.557,0.536,0.7,0.8,0.836,1.7,3.1,4.8,2.4,0.5,0.1,1.2,1.8,11,
333,Kenrich Williams,PF,69,7,16.4,2.5,5.1,0.483,1,2.5,0.386,1.5,2.7,0.574,0.576,0.4,0.6,0.718,0.9,2.6,3.5,2.1,0.8,0.3,1.2,2.3,11,
335,Jonathan Mogbo,PF,63,18,20.4,2.5,5.7,0.438,0.3,1.1,0.243,2.2,4.5,0.486,0.462,1,1.3,0.732,1.7,3.2,4.9,1.5,0.6,0.1,1.5,1.6,10.9,
339,Jarace Walker,PF,75,5,15.8,2.3,4.8,0.472,1,2.5,0.405,1.3,2.3,0.543,0.576,0.6,0.9,0.667,0.3,2.7,3.1,2.7,0.8,0.2,1.4,2.4,10.8,
341,Mouhamed Gueye,PF,33,28,16.2,2.2,5.2,0.421,0.6,2.5,0.259,1.5,2.7,0.567,0.482,1,1.3,0.762,1.3,2.9,4.2,1.2,0.5,0.4,1,0.9,10.8,
343,Isaiah Mobley,PF,1,0,17,2,7,0.286,1,3,0.333,1,4,0.25,0.357,1,2,0.5,1,3,4,2.2,1.3,0.2,1.2,1.7,10.7,
348,Chuma Okeke,PF,9,3,21.8,2.2,4.4,0.5,1.2,3.1,0.393,1,1.3,0.75,0.638,0.2,0.3,0.667,2.3,2.9,5.2,2.8,0.8,0.3,1.3,1.8,10.7,
349,Kyle Anderson,PF,61,4,16.4,2.3,5,0.469,0.4,1.1,0.357,1.9,3.8,0.502,0.51,0.8,1.1,0.738,0.9,2.5,3.4,2.1,0.8,0.3,1.2,1.5,10.6,
352,Tidjane Salaün,PF,60,10,20.7,1.9,5.8,0.33,1,3.4,0.283,0.9,2.3,0.4,0.414,1.1,1.6,0.713,1.2,3.5,4.7,2.2,1,0.4,1.5,2.6,10.6,
353,Jaylin Williams,PF,47,9,16.7,2.1,4.7,0.439,1.3,3.3,0.399,0.8,1.4,0.529,0.577,0.5,0.6,0.767,1,4.6,5.6,2.6,0.6,0.2,1.2,1.1,10.6,
364,Jeff Green,PF,32,3,12.4,1.9,3.8,0.504,0.9,2.5,0.367,1,1.3,0.762,0.624,0.7,0.8,0.808,0.3,1.5,1.8,1.6,0.6,0.4,0.9,1.4,10.5,
365,Jonathan Isaac,PF,71,1,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1,1.5,0.682,1.7,2.7,4.4,2,0.5,0.6,1.5,2.2,10.4,
366,Dean Wade,PF,59,30,21.2,1.9,4.6,0.413,1.4,3.8,0.36,0.5,0.8,0.653,0.561,0.3,0.5,0.533,0.9,3.4,4.2,1.5,0.9,0.5,0.8,2,10.4,
371,Kevin Love,PF,23,9,10.9,1.8,5,0.357,1,2.9,0.358,0.7,2.1,0.354,0.461,0.7,1,0.696,1,3.1,4.1,1.7,0.6,0.1,0.9,1.8,10.4,ROY-3
374,Jabari Walker,PF,60,1,12.5,2,3.8,0.515,0.5,1.2,0.389,1.5,2.6,0.573,0.576,0.8,1.2,0.69,1,2.5,3.5,2.3,1.1,0.8,1.8,2.9,10.4,
376,Alex Reese,PF,15,0,14.4,1.7,3.6,0.481,1,2.7,0.366,0.7,0.9,0.846,0.62,0.6,0.8,0.75,0.6,2.5,3.1,3.4,1.1,0.2,1.8,1.6,10.3,
389,Taylor Hendricks,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,4.6,1.3,0.3,1.5,1.6,10.3,
390,David Roddy,PF,33,3,12.4,1.7,3.8,0.456,0.6,1.8,0.311,1.2,1.9,0.594,0.532,0.6,0.8,0.769,0.4,2.2,2.5,2.2,0.9,1.4,1.2,2.1,10.3,
400,Marvin Bagley III,PF,31,2,8.5,1.8,3.4,0.519,0.1,0.6,0.158,1.7,2.8,0.598,0.533,0.7,1.1,0.657,1.2,1.5,2.7,3.3,1.9,0.5,1.8,3.3,10.3,
405,Lamar Stevens,PF,17,1,9.1,1.7,3.7,0.46,0.5,1.6,0.296,1.2,2.1,0.583,0.524,0.5,0.6,0.727,0.2,2,2.2,2.8,1.2,0.3,1.7,3,10.3,
413,Dominick Barlow,PF,35,4,10.7,1.7,3.2,0.531,0.2,0.8,0.259,1.5,2.5,0.616,0.562,0.6,0.9,0.636,1,1.4,2.4,1.6,0.6,0.1,0.5,1.5,10.2,
415,Oso Ighodaro,PF,61,6,17.1,1.9,3.1,0.604,0,0,0,1.9,3,0.611,0.604,0.5,0.8,0.58,1.1,2.6,3.6,5.3,0.9,0.1,1.1,0.8,10.2,
425,Gui Santos,PF,56,2,13.6,1.5,3.2,0.458,0.6,1.8,0.33,0.9,1.4,0.632,0.553,0.5,0.8,0.69,1.3,1.8,3.1,2.6,0.6,0.3,1.9,2.2,10.2,
426,Jarred Vanderbilt,PF,36,2,16.1,1.6,3.4,0.488,0.3,0.9,0.281,1.4,2.5,0.562,0.525,0.6,1,0.556,1.9,3.2,5.1,0.9,0.7,0.7,0.9,2.1,10.1,
428,Nicolas Batum,PF,78,8,17.5,1.3,3.1,0.437,1.1,2.6,0.433,0.2,0.4,0.457,0.622,0.2,0.3,0.81,0.6,2.2,2.8,1.6,1.1,0.5,0.7,2.9,10.1,"DPOY-4,DEF1"
434,Olivier-Maxence Prosper,PF,52,4,11.2,1.3,3.3,0.402,0.2,1,0.235,1.1,2.4,0.472,0.437,0.9,1.5,0.645,0.8,1.6,2.4,1.6,1,0.4,1.1,2.2,10.1,
439,Markieff Morris,PF,15,2,11,1.4,4.7,0.3,0.6,2.4,0.25,0.8,2.3,0.353,0.364,0.3,0.4,0.833,0.2,1.3,1.5,0.8,1,0.4,0.9,2,10.1,
443,Jackson Rowe,PF,6,0,8.7,1.3,2.8,0.471,0.5,1.7,0.3,0.8,1.2,0.714,0.559,0.5,1,0.5,0.5,1.3,1.8,2.3,1.7,0.7,1.4,2.8,10.1,
445,JT Thor,PF,20,0,12.5,1.3,3,0.424,0.3,1.1,0.286,1,1.9,0.5,0.475,0.8,1.1,0.682,1,1.4,2.4,0.7,0.5,0.5,0.6,1.4,10,
457,Isaac Jones,PF,40,0,7.6,1.4,2.1,0.651,0.1,0.2,0.375,1.3,1.9,0.68,0.669,0.6,0.9,0.639,0.6,0.9,1.4,5,1.2,0.2,1.7,2.3,10,
462,Zeke Nnaji,PF,57,4,10.7,1.2,2.5,0.496,0.3,0.9,0.327,0.9,1.6,0.596,0.557,0.5,0.8,0.614,0.6,1,1.6,1.3,1,0.4,1.1,2.4,10,
467,Maxi Kleber,PF,34,4,18.7,1.1,2.8,0.385,0.4,1.4,0.265,0.7,1.4,0.511,0.453,0.5,0.6,0.762,0.7,2.1,2.8,2.3,1,0.3,1,1.8,9.9,
474,Tyler Smith,PF,23,0,5.3,1,2.2,0.48,0.6,1.3,0.433,0.5,0.9,0.55,0.61,0.3,0.3,0.75,0.3,0.8,1.1,1.4,0.4,0.2,1,2.5,9.9,
479,Jae Crowder,PF,9,2,11.4,0.8,2.4,0.318,0.4,1.7,0.267,0.3,0.8,0.429,0.409,0.6,0.7,0.833,0.7,1.6,2.2,1.4,0.7,0.4,0.9,1.4,9.9,
481,Hunter Tyson,PF,51,2,7.8,0.9,2.4,0.375,0.5,1.5,0.311,0.4,0.9,0.478,0.471,0.4,0.5,0.75,0.5,1,1.5,4.4,1.3,0.4,1.7,2.6,9.9,
484,Anthony Gill,PF,51,0,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.1,0.579,0.545,0.6,1,0.66,0.4,0.9,1.3,2.4,0.3,0.1,1.4,1.3,9.9,
493,Miles Norris,PF,3,0,11.7,0.7,3,0.222,0.7,2.3,0.286,0,0.7,0,0.333,0.3,0.7,0.5,0.7,2.3,3,4.4,0.7,0.3,1.7,2.3,9.8,
495,Drew Peterson,PF,25,1,7.4,0.7,1.6,0.415,0.5,1.3,0.394,0.2,0.3,0.5,0.573,0.3,0.4,0.778,0.4,1.2,1.6,1.3,0.8,0.4,0.7,1.6,9.8,
500,Enrique Freeman,PF,22,1,8.2,0.7,1.7,0.432,0,0.5,0.1,0.7,1.2,0.556,0.446,0.6,0.9,0.684,0.5,0.9,1.4,1.1,0.6,0.1,0.6,1.7,9.7,
506,Kobe Brown,PF,40,0,6.8,0.8,1.8,0.46,0.2,0.7,0.23,0.7,1.2,0.59,0.5,0.1,0.2,0.71,0.5,1.2,1.6,1.9,0.8,0.4,1.1,1.5,9.6,
511,Vlatko Čančar,PF,13,0,11,0.8,2,0.39,0.3,1.2,0.27,0.5,0.8,0.55,0.46,0,0,,0.5,2,2.5,1.9,0.7,0.3,1.4,2.4,9.6,
